Id,Prediction
1,6
2,2
3,2
4,9
5,5
6,3
7,2
8,4
9,7
10,4
11,7
12,3
13,4
14,6
15,9
16,8
17,2
18,0
19,7
20,1
21,3
22,6
23,9
24,7
25,2
26,9
27,5
28,7
29,2
30,8
31,7
32,4
33,4
34,9
35,6
36,8
37,0
38,1
39,8
40,8
41,1
42,7
43,8
44,7
45,3
46,0
47,5
48,4
49,7
50,4
51,1
52,8
53,0
54,9
55,9
56,8
57,7
58,4
59,8
60,7
61,2
62,7
63,2
64,8
65,3
66,0
67,0
68,9
69,6
70,6
71,9
72,3
73,8
74,3
75,1
76,7
77,6
78,4
79,2
80,9
81,5
82,3
83,3
84,5
85,4
86,6
87,9
88,5
89,1
90,9
91,0
92,0
93,8
94,4
95,9
96,3
97,2
98,6
99,7
100,6
101,7
102,8
103,3
104,1
105,9
106,8
107,8
108,9
109,3
110,1
111,5
112,1
113,2
114,0
115,5
116,6
117,6
118,9
119,3
120,8
121,6
122,7
123,7
124,8
125,8
126,9
127,1
128,9
129,6
130,4
131,2
132,4
133,6
134,4
135,6
136,8
137,2
138,5
139,2
140,4
141,4
142,5
143,4
144,6
145,2
146,6
147,0
148,6
149,5
150,6
151,1
152,3
153,7
154,6
155,5
156,3
157,5
158,6
159,4
160,9
161,1
162,7
163,0
164,3
165,0
166,3
167,1
168,6
169,4
170,7
171,9
172,1
173,8
174,4
175,3
176,3
177,5
178,2
179,4
180,1
181,8
182,9
183,0
184,1
185,9
186,0
187,8
188,3
189,0
190,6
191,9
192,0
193,2
194,7
195,2
196,3
197,9
198,3
199,6
200,0
201,3
202,0
203,1
204,7
205,8
206,4
207,0
208,0
209,7
210,3
211,5
212,9
213,4
214,4
215,2
216,2
217,6
218,5
219,0
220,5
221,7
222,1
223,5
224,3
225,5
226,0
227,6
228,7
229,5
230,8
231,2
232,1
233,1
234,0
235,8
236,7
237,7
238,6
239,1
240,9
241,0
242,6
243,8
244,7
245,6
246,5
247,2
248,4
249,4
250,4
251,6
252,7
253,2
254,3
255,1
256,2
257,4
258,5
259,1
260,2
261,1
262,8
263,9
264,8
265,4
266,0
267,5
268,4
269,8
270,7
271,0
272,3
273,7
274,1
275,0
276,5
277,7
278,3
279,0
280,9
281,3
282,9
283,9
284,2
285,8
286,0
287,5
288,6
289,9
290,3
291,8
292,6
293,0
294,1
295,9
296,8
297,2
298,9
299,6
300,0
301,1
302,7
303,5
304,1
305,0
306,8
307,1
308,3
309,4
310,0
311,3
312,7
313,1
314,0
315,7
316,8
317,4
318,2
319,0
320,7
321,7
322,2
323,8
324,1
325,4
326,1
327,8
328,3
329,0
330,7
331,4
332,3
333,3
334,8
335,1
336,4
337,6
338,5
339,5
340,4
341,9
342,7
343,7
344,8
345,9
346,2
347,2
348,9
349,2
350,1
351,5
352,2
353,4
354,8
355,5
356,1
357,5
358,6
359,5
360,8
361,7
362,3
363,4
364,1
365,6
366,8
367,7
368,2
369,9
370,0
371,6
372,2
373,9
374,3
375,3
376,3
377,7
378,4
379,8
380,6
381,6
382,9
383,0
384,5
385,9
386,2
387,5
388,1
389,3
390,2
391,0
392,9
393,3
394,3
395,9
396,1
397,0
398,0
399,7
400,4
401,2
402,7
403,9
404,5
405,3
406,0
407,6
408,4
409,8
410,6
411,0
412,5
413,0
414,8
415,4
416,6
417,0
418,6
419,6
420,1
421,0
422,4
423,8
424,8
425,4
426,9
427,1
428,9
429,2
430,9
431,4
432,5
433,1
434,1
435,0
436,5
437,3
438,2
439,1
440,5
441,8
442,4
443,3
444,2
445,5
446,6
447,9
448,4
449,8
450,9
451,8
452,0
453,8
454,6
455,4
456,7
457,6
458,1
459,4
460,4
461,6
462,7
463,8
464,5
465,5
466,4
467,2
468,0
469,0
470,5
471,1
472,3
473,2
474,4
475,0
476,2
477,3
478,8
479,2
480,2
481,0
482,2
483,6
484,2
485,4
